Month_Name,Room Type,ARR_Mean,ARR_Min,ARR_Max,Occ_Mean,Holiday_Days
Apr,Deluxe,562143.0,547470.0,618761.0,1.0,2
Apr,Executive Suite,1180068.0,1148838.0,1303159.0,1.0,2
Apr,Family Suite,3794727.0,3693992.0,4170287.0,1.0,2
Apr,Suite,1184230.0,1115141.0,1428938.0,1.0,2
Aug,Deluxe,565320.0,547470.0,618761.0,1.0,2
Aug,Executive Suite,1186705.0,1148838.0,1303159.0,1.0,2
Aug,Family Suite,3817174.0,3693992.0,4170287.0,1.0,2
Aug,Suite,1200248.0,1115141.0,1428938.0,1.0,2
Dec,Deluxe,582233.0,547470.0,618761.0,1.0,13
Dec,Executive Suite,1223746.0,1148838.0,1303159.0,1.0,13
Dec,Family Suite,3927991.0,3693992.0,4170287.0,1.0,13
Dec,Suite,1271062.0,1115141.0,1428938.0,1.0,13
Feb,Deluxe,565737.0,547470.0,618761.0,1.0,2
Feb,Executive Suite,1187811.0,1148838.0,1303159.0,1.0,2
Feb,Family Suite,3818933.0,3693992.0,4170287.0,1.0,2
Feb,Suite,1200372.0,1115141.0,1428938.0,1.0,2
Jan,Deluxe,569652.0,547470.0,618761.0,1.0,5
Jan,Executive Suite,1196425.0,1148838.0,1303159.0,1.0,5
Jan,Family Suite,3844370.0,3693992.0,4170287.0,1.0,5
Jan,Suite,1216409.0,1115141.0,1428938.0,1.0,5
Jul,Deluxe,579934.0,547470.0,618761.0,1.0,11
Jul,Executive Suite,1218768.0,1148838.0,1303159.0,1.0,11
Jul,Family Suite,3912626.0,3693992.0,4170287.0,1.0,11
Jul,Suite,1260939.0,1115141.0,1428938.0,1.0,11
Jun,Deluxe,584650.0,547470.0,618761.0,1.0,14
Jun,Executive Suite,1228876.0,1148838.0,1303159.0,1.0,14
Jun,Family Suite,3944642.0,3693992.0,4170287.0,1.0,14
Jun,Suite,1282544.0,1115141.0,1428938.0,1.0,14
Mar,Deluxe,572085.0,547470.0,618761.0,1.0,7
Mar,Executive Suite,1201522.0,1148838.0,1303159.0,1.0,7
Mar,Family Suite,3861501.0,3693992.0,4170287.0,1.0,7
Mar,Suite,1228573.0,1115141.0,1428938.0,1.0,7
May,Deluxe,574251.0,547470.0,618761.0,1.0,5
May,Executive Suite,1206381.0,1148838.0,1303159.0,1.0,5
May,Family Suite,3875099.0,3693992.0,4170287.0,1.0,5
May,Suite,1236654.0,1115141.0,1428938.0,1.0,5
Nov,Deluxe,558786.0,547470.0,585190.0,1.0,0
Nov,Executive Suite,1172536.0,1148838.0,1227830.0,1.0,0
Nov,Family Suite,3773651.0,3693992.0,3959523.0,1.0,0
Nov,Suite,1171705.0,1115141.0,1303687.0,1.0,0
Oct,Deluxe,558421.0,547470.0,585190.0,1.0,0
Oct,Executive Suite,1171771.0,1148838.0,1227830.0,1.0,0
Oct,Family Suite,3771081.0,3693992.0,3959523.0,1.0,0
Oct,Suite,1169880.0,1115141.0,1303687.0,1.0,0
Sep,Deluxe,557529.0,547470.0,585190.0,1.0,0
Sep,Executive Suite,1169903.0,1148838.0,1227830.0,1.0,0
Sep,Family Suite,3764800.0,3693992.0,3959523.0,1.0,0
Sep,Suite,1165420.0,1115141.0,1303687.0,1.0,0
